# Latest digital-adoption indicators (snapshot)
# Source: Eurostat datasets isoc_sk_dskl_i21, isoc_cicce_use, isoc_ciegi_ac
# URL: https://ec.europa.eu/eurostat/databrowser/view/isoc_sk_dskl_i21/default/table
# URL: https://ec.europa.eu/eurostat/databrowser/view/isoc_cicce_use/default/table
# URL: https://ec.europa.eu/eurostat/databrowser/view/isoc_ciegi_ac/default/table
# Filters: Latest available value per country for basic+ digital skills, cloud adoption, and e-gov form submission
# Notes: Derived: most recent non-NaN value per country from the three datasets above.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
,"Basic+ digital
skills % of pop","Cloud adoption
% of enterprises","E-gov forms
% of population"
RO,31.84,24.94,9.32
PL,50.42,54.71,27.39
CZ,70.45,54.9,31.11
HU,57.32,47.96,66.8
BG,38.26,17.83,13.39
