year,EU27_2020,RO
2005,85.85,
2006,94.31,
2007,102.32,
2008,103.67,
2009,99.78,129.28
2010,100.25,119.54
2011,100.88,104.83
2012,98.76,99.51
2013,97.06,99.26
2014,97.75,97.22
2015,100.0,100.0
2016,104.31,105.95
2017,109.31,112.36
2018,114.81,118.62
2019,120.4,122.69
2020,127.14,128.44
2021,137.84,134.09
2022,148.86,143.7
2023,148.45,148.43
2024,153.45,155.89
2025,161.92,164.82
