year,J62_legacy,J62_new,J63_legacy,J63_new
2005,5524.0,,1389.0,
2006,6175.0,,1527.0,
2007,6818.0,,1783.0,
2008,7650.0,,2070.0,
2009,8453.0,,2162.0,
2010,7512.0,,2079.0,
2011,7173.0,,2012.0,
2012,7865.0,,2292.0,
2013,8327.0,,2486.0,
2014,9108.0,,2745.0,
2015,9811.0,,3183.0,
2016,10788.0,,3537.0,
2017,12012.0,,3883.0,
2018,13262.0,,4104.0,
2019,14409.0,,4237.0,
2020,16311.0,,4501.0,
2021,,35137.0,,6011.0
2022,,41459.0,,6459.0
2023,,43424.0,,6940.0
2024,,45240.0,,7262.0
