# Latest IT-production indicators (snapshot)
# Source: Eurostat datasets isoc_sks_itspt, bop_its6_det
# URL: https://ec.europa.eu/eurostat/databrowser/view/isoc_sks_itspt/default/table
# URL: https://ec.europa.eu/eurostat/databrowser/view/bop_its6_det/default/table
# Filters: Latest available value per country for ICT specialists share (PC_EMP) and IT services share of services exports (SI/S, CRE, WRL_REST)
# Notes: Derived: most recent non-NaN value per country from the two datasets above.
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
,"ICT specialists
% employment","IT services
% services exports"
RO,2.7,26.024642939440906
PL,4.5,16.899899055547106
CZ,4.7,18.188191362779023
HU,4.6,11.311951973421367
BG,4.8,25.804743881512493
