# Individuals with basic+ digital skills — 2021+ methodology
# Source: Eurostat dataset isoc_sk_dskl_i21
# URL: https://ec.europa.eu/eurostat/databrowser/view/isoc_sk_dskl_i21/default/table
# Filters: indic_is=I_DSK2_BAB (basic or above-basic, 2021+ definition), ind_type=IND_TOTAL, unit=PC_IND
# Notes: Successor series of isoc_sk_dskl_i (definition change in 2021).
# Generated by the Python scripts in this directory's parent (01_origins.py .. 08_outlook.py).
year,BG,CZ,EU27_2020,HU,PL,RO
2021,31.18,59.69,53.92,49.09,42.93,27.82
2023,35.52,69.11,55.56,58.89,44.3,27.73
2025,38.26,70.45,60.4,57.32,50.42,31.84
