# source: IEA — Global EV Outlook 2024, Global EV Outlook 2025 (battery chemistry mix charts)
# url: https://www.iea.org/reports/global-ev-outlook-2024
# url: https://www.iea.org/reports/global-ev-outlook-2025
# retrieved: 2026-05-13
# notes: Share of new EV battery deployments by cathode chemistry (LFP, NMC/NCA nickel-based, other inc. sodium-ion).
# notes: LFP share rose from ~5% (2018) to ~48% (2024) globally, driven by Chinese cell makers (CATL, BYD).
year,LFP,NMC + NCA,Other / NaIon
2018,5,90,5
2019,10,84,6
2020,11,84,5
2021,21,74,5
2022,33,62,5
2023,41,54,5
2024,48,47,5
