# source: World Bank Open Data — GDP (constant 2015 USD), trillions
# indicator: NY.GDP.MKTP.KD
# url: https://data.worldbank.org/indicator/NY.GDP.MKTP.KD
# retrieved: 2026-05-13 (fetched via wbgapi)
# notes: Values divided by 1e12 (trillion USD, constant 2015 prices).
year,CN,EU,JP,KR,US
1978,0.369245353260872,6.79545422109005,2.08230726573027,0.147396058469561,6.8300204522676795
1979,0.397275966892718,7.059754238852941,2.19650186725699,0.160273927312535,7.0462580950845
1980,0.42839914225256404,7.20567466039972,2.25839031074342,0.157830929681353,7.02816501432483
1981,0.450302166910072,7.24591102020796,2.3546118414844304,0.169516449730117,7.20651884703084
1982,0.49109631983696,7.3052816178296,2.43183705247644,0.1838715596853,7.076584318487231
1983,0.543778042482387,7.4109180752779595,2.5201175664475297,0.208633185451276,7.400960152426849
1984,0.6266093644837011,7.59816075407771,2.63127693203213,0.230824674324955,7.93652716759833
1985,0.710797305027178,7.7741767327134506,2.76704576716048,0.24914937313146202,8.26744664778583
1986,0.774307505788049,7.97469636005447,2.8581935722179304,0.277808988270135,8.55371980721575
1987,0.864345705902996,8.17756302344293,2.9910670298607402,0.313624703636085,8.84921914944171
1988,0.961347723725301,8.515309136618429,3.19032104352253,0.35167740084365995,9.21884947465813
1989,1.00178522330397,8.8468175145815,3.3474694121179103,0.376875147732962,9.55738755383315
1990,1.04127189619566,9.1385358293128,3.5095180315631,0.41465650299115697,9.737636593624972
1991,1.1387526694585,9.271989075705289,3.63317088906057,0.45975028958125097,9.7270894787558
1992,1.3015898702451298,9.35559054103325,3.6658907198573303,0.488951752176177,10.0697259306615
1993,1.4828893386986899,9.299828881187869,3.6490562268955498,0.52315254799321,10.346824232649599
1994,1.67674314915828,9.55105462360975,3.68858948807923,0.5721815456475771,10.763700132799
1995,1.8617350711481102,9.811290301513539,3.7856362633619303,0.627888532992027,11.0526442070404
1996,2.0474654838365502,9.99928163336469,3.90427322010961,0.6780595256016619,11.4696353493385
1997,2.2376268407598703,10.2677122924984,3.94258307073246,0.7206565313073531,11.9797047070778
1998,2.41486461032786,10.5738349408135,3.89249923570761,0.685063811513859,12.5167708444811
1999,2.6017027590786297,10.891446207973301,3.8795010146568196,0.76464947591354,13.1161270347054
2000,2.82509619779954,11.3198699096436,3.98675554446382,0.835011437852054,13.65094836252
2001,3.05993624247858,11.564508558513,4.0021485442129,0.874473540684493,13.781388409036198
2002,3.34277818307146,11.6914515969449,4.0038279457672,0.942192762521074,14.0157336597836
2003,3.68100692665074,11.8009971024548,4.06529172951745,0.971162614185718,14.4075583457629
2004,4.05394473345366,12.1078122468768,4.1541637100393,1.0215041574226,14.9619282978138
2005,4.51845538784941,12.3479802708257,4.22910070543558,1.06602372623141,15.4831345413902
2006,5.09115493075842,12.7884995014248,4.287138774362241,1.12193672936541,15.9142685596689
2007,5.81155261497409,13.1902931401159,4.3507586024055405,1.1874798623748999,16.2331679507439
2008,6.373544042638009,13.2718074220719,4.29749274339288,1.22315656099614,16.2516067597878
2009,6.972829250985099,12.6995153645095,4.05282632400377,1.23318475386086,15.832884074310801
2010,7.71168920285329,12.976593517674,4.21890782017857,1.31928153767041,16.259610790677
2011,8.44131802090242,13.2310127236035,4.2199123220401,1.36793706374525,16.5139772569112
2012,9.10448267535636,13.129872603290199,4.27792560884649,1.40278752445773,16.8920009209755
2013,9.81269526290089,13.1255344180293,4.36370230279337,1.44895881628578,17.2497448006175
2014,10.544908798424,13.3398379286758,4.37662782963498,1.4955382084131599,17.6850972776978
2015,11.2808147874689,13.6562526207033,4.44493065196418,1.53921230113555,18.206020741
2016,12.045152668727301,13.9184499805051,4.47843772805046,1.58802884239305,18.537270454435603
2017,12.8752162228534,14.3106872746441,4.55346641729011,1.64254891781959,18.9928465466617
2018,13.7451582751367,14.603544059407099,4.58276301147855,1.69471817157925,19.5562703022183
2019,14.5792835281484,14.877396575749199,4.56433255009638,1.73393059632325,20.061570168697603
2020,14.920466234565302,14.0474043908564,4.37405627182401,1.72178888053099,19.6276325599345
2021,16.1991628929086,14.9433127439216,4.49200593782688,1.80121444983476,20.8160961008245
2022,16.7068752536485,15.4755266474982,4.53432057875585,1.85034373694576,21.33907456182
2023,17.6115263691266,15.545835479247401,4.6012033857137,1.87963494982172,21.955252291273602
2024,18.488114837769302,15.7113298986808,4.60600285595513,1.9172955227818602,22.5684627681743
