year,policy_rate_pct
2000,35.0
2001,35.0
2002,25.0
2003,21.25
2004,17.0
2005,8.5
2006,8.75
2007,7.5
2008,10.25
2009,8.0
2010,6.25
2011,6.0
2012,5.25
2013,4.0
2014,2.75
2015,1.75
2016,1.75
2017,1.75
2018,2.5
2019,2.5
2020,1.5
2021,1.75
2022,6.75
2023,7.0
2024,6.5
