year,Total Expenditure,Total Revenue
2000,38.5,33.9
2001,36.3,32.9
2002,34.9,33.0
2003,34.3,32.9
2004,33.8,32.7
2005,33.5,32.7
2006,35.6,33.5
2007,37.5,34.7
2008,37.7,32.3
2009,39.7,30.2
2010,39.4,32.2
2011,37.9,32.4
2012,36.1,32.3
2013,35.8,33.5
2014,35.6,34.4
2015,35.9,35.4
2016,34.8,32.3
2017,33.6,31.0
2018,34.6,31.7
2019,36.3,31.9
2020,41.7,32.4
2021,40.0,32.8
2022,40.9,34.4
2023,41.1,34.5
2024,43.3,34.0
