year,BG,CZ,EU27_2020,HU,PL,RO
2015,43.3,13.0,24.0,30.6,22.5,44.5
2016,41.0,12.4,23.7,28.6,20.6,46.0
2017,38.0,12.1,22.4,25.9,18.7,42.5
2018,33.0,11.8,21.7,20.6,18.2,38.7
2019,33.2,12.1,21.1,21.1,17.9,36.1
2020,33.5,11.5,21.5,19.4,17.0,35.6
2021,31.7,10.7,21.7,19.6,16.8,34.4
2022,32.2,11.8,21.6,18.8,15.9,34.4
2023,30.0,12.0,21.3,19.7,16.3,32.0
2024,30.3,11.3,21.0,19.3,16.0,27.9
2025,29.0,11.5,,19.5,15.0,27.4
