year,BG,CZ,HU,PL,RO
2000,7.56080761987916,8.02095314137193,5.81207210516034,5.39740366105294,2.78361317174685
2001,5.73162685921139,8.27868500809023,7.54426473166249,2.95949603020482,2.8642076020901
2002,5.51519461491359,10.2854716819753,5.38678090915431,2.04862965818155,2.48342020141655
2003,9.91625852839807,2.01250274928445,4.88025299452782,2.45743497066474,3.18995908035532
2004,11.7462386509689,5.34629831368761,4.36291277823616,5.41150845702569,8.59368512961184
2005,13.7204790059911,10.0027291342114,24.3060288068427,3.59641795552772,6.60067175776297
2006,22.9038783511231,4.56488300562003,16.1574876503265,6.20790606582043,9.02006052535516
2007,31.2286245169024,7.26984053281639,50.4065230275136,5.82502177093229,5.78679016158104
2008,18.8997638100665,3.72734017480649,47.2364211896638,2.7209993736918,6.37741866098849
2009,7.4901573261348,2.54701925348654,-2.28280495631194,3.18105494953636,2.66364407064905
2010,3.63569636783254,4.81502985527419,-15.8854380283338,3.94489462074706,1.88971859139686
2011,3.64730034700454,1.80994155301699,7.45442145492381,3.57128957712437,1.23042689104897
2012,3.29319904868212,4.48424380759869,8.30549850772091,1.52886091421625,1.70143772893217
2013,3.56335772880844,3.45386726376292,-2.74986395257086,0.258983446617592,2.03100513989555
2014,1.91587739023798,3.83510153423089,9.1265022330579,3.85089176515991,1.9372882717301
2015,4.37575066215901,0.898913491904098,-4.3672559097876,3.29546177974363,2.42725822119064
2016,2.75996039584459,5.47566421423918,53.8467636785015,3.81608753667806,3.37417569649644
2017,3.39254658352441,5.07066240955503,-8.6313549623639,2.37812836572029,2.8327307446025
2018,2.73817844158842,3.30353998283407,-40.1082460169744,3.34803923662527,3.03714660753952
2019,3.24233477901203,4.18705737619001,59.5775493833952,3.15455649244208,2.94522918789332
2020,3.97434259753147,3.39114066226469,105.635755544096,3.31499059495462,1.43737355732839
2021,2.52884122158723,4.43029524586196,18.2639108972104,5.44306737738578,4.12834531077957
2022,5.24661564677497,3.02937517288668,-1.08324491969383,6.00626096603428,3.88647349252643
2023,5.05888344751487,3.4462419046487,-33.1910318158223,4.38918673390545,2.50426860654842
2024,3.1312025090285,3.76083530894919,-27.9229280333136,2.24523191798779,1.87134949618788
