region,gdp_per_capita_pps_pct_eu27
Nord-Est,28
Sud-Est,37
Sud-Muntenia,38
Sud-Vest Oltenia,34
Vest,67
Nord-Vest,52
Centru,57
Bucuresti-Ilfov,162
