year,RON_per_EUR
1999,1.866
2000,1.993
2001,2.601
2002,3.128
2003,3.756
2004,4.051
2005,3.621
2006,3.526
2007,3.337
2008,3.683
2009,4.239
2010,4.212
2011,4.239
2012,4.456
2013,4.419
2014,4.444
2015,4.445
2016,4.49
2017,4.569
2018,4.654
2019,4.745
2020,4.839
2021,4.921
2022,4.931
2023,4.953
2024,4.975
