year,Agriculture,Industry,Services
2000,10.8539180518615,30.2634621400688,49.1808772014428
2001,13.1496003966219,32.337206984498,45.2363631407411
2002,11.3424376853187,33.3269850234614,45.6522724213001
2003,11.9143840898386,32.0484937285585,45.25754803103
2004,12.7055114609076,31.8347873600822,45.1610886176413
2005,8.48610428920676,32.2658742760889,47.9286025784533
2006,7.82080658741648,32.9782770932418,48.253514239885
2007,5.50150097100926,34.2821825497409,49.3464862197025
2008,6.30193056572848,36.7743706646186,46.6274099654077
2009,6.11614263251912,36.4231420350652,48.3819583982207
2010,5.1772466335768,38.3073286489437,45.9961975955111
2011,5.95088848587022,40.2099159620935,42.3345168458964
2012,4.54079724771484,34.4276463515754,49.4343903967501
2013,5.50972556892124,32.072608504292,50.5530892890503
2014,4.94834094527624,32.5700211539755,50.9162586615439
2015,4.42592968395419,30.811807082352,52.6060117162535
2016,4.2921753725524,30.1213847463155,55.1153784636175
2017,4.43884283682194,29.1130933187854,56.9119041977143
2018,4.50660889280427,29.1075109238852,56.7769219049761
2019,4.31147831319992,27.7745670712094,58.3617382577699
2020,4.07184426240682,26.6218787803176,59.918608618412
2021,4.616339720378,26.2049211165386,59.5240162986079
2022,3.8180329334627,27.5991771762168,60.3937908900332
2023,3.32416909916798,27.0872143657574,60.9101722747782
