year,Agriculture,Industry (incl. mfg),Construction,"Trade, transport, tourism",Information & comms,Financial,Real estate,Professional & admin,"Public, education, health",Other services
2000,6.1871111640481855,14.457069573999776,6.584574317941154,26.707288619272397,3.0329408194332723,4.600195468332662,13.36681965843622,5.972226527891766,16.20641325399299,2.8854421777587063
2001,6.04826370613364,14.873021653181878,6.729362767298676,25.65501181193924,3.0746998053784105,3.8786613951552686,13.591074335654918,5.984460873716293,17.073454349608923,3.0918362975384652
2002,5.873948324434699,14.833236452563705,6.570427835390959,24.254720193940905,3.0917827878863404,4.080745460351221,14.153183011195924,6.345419002838454,17.48873716801816,3.307799763379635
2003,5.952942914302413,14.562456447951089,8.366039517162317,24.809751805503375,2.808653571348291,4.293902873712706,12.878882755475917,6.404439178058438,16.939780160496326,2.983150775989133
2004,5.056765496368609,14.015099810310987,8.744463481334694,25.02647644420178,2.797501094359694,4.805827641878439,12.103677048570743,6.435011508427747,17.945733879964042,3.069384758040602
2005,5.001617421348585,14.117392670901788,6.438598785442748,25.302893692974425,2.838861243602009,4.89482172804838,13.026550946478267,6.354458462096132,18.634070464509644,3.39079193996499
2006,3.715873180061261,13.738228582405728,9.447954554570192,23.893840337252037,3.04684712831241,4.710044731914606,13.216655302494559,6.5085041301553055,18.44215143832421,3.279953389302761
2007,3.583412061424259,13.49468009478086,7.798663496736024,25.073580008629953,2.9651467810325327,4.483215930635391,13.831208624404336,6.664136799119764,18.698511952385648,3.40749379133844
2008,3.282376513732886,13.098019176126583,5.803606411165446,26.47923029541151,2.8940383418050297,4.265830942530984,14.920221367480371,6.771341146321854,19.117142112204423,3.368241184742494
2009,3.2775231583622277,12.635571492972774,5.392311763162034,24.46967744896364,3.022717831066458,4.546338954189062,15.533611595411209,6.468135231354154,20.944376427304235,3.7096882913366667
2010,3.3042826513370476,12.64602252788602,4.436052325711121,24.948578974378737,3.1795841286519577,4.749953852925725,16.74246281357191,5.535164070597924,21.3424640306376,3.115434624301962
2011,3.4932404359359523,13.133476088508209,3.2716503137417834,24.185619855192652,3.1782370689099304,4.787288621694862,18.125814071757745,5.3208543106623996,21.394100162996583,3.1097190705998914
2012,3.8811427510682908,14.211601661392887,2.5884462117335567,23.85986851987773,3.165183047539724,3.7596891177788825,18.217495429459802,5.311596654254663,21.696906931955432,3.308130737600311
2013,3.7830024088169925,14.181917965870975,2.822137287992735,24.641354970648685,3.043626774688473,4.438218375325501,18.01599920910192,5.140774154870266,20.580967874201576,3.352000978482883
2014,4.004624235784529,14.098512185607968,1.931892937097777,25.310352906947553,2.794753191713967,5.243911701814034,17.805625037816515,5.058787785941139,20.446666160300833,3.304938225513886
2015,4.329741582601438,14.292359636802027,2.0685408894913184,24.291028720653625,2.9064365947670447,5.077509713749656,18.31825177057073,5.057804401843642,20.407790123568457,3.2505365659520633
2016,3.9684085054428624,14.52114125129263,1.8952002294501353,24.159362591734006,3.043766560800339,5.671983664834398,18.068079854962253,4.971397672344154,20.461255292220006,3.2394043769192105
2017,4.300039474797829,14.273983523955906,1.2471710266613174,25.287322904492314,3.0972533681176726,5.639339898683507,17.72773760307219,5.055423003793069,20.037497827593985,3.334166761961801
2018,4.065505197117628,14.287173548168386,1.4876633496111018,26.074648753247203,3.1041613331384004,5.192457108856328,17.12632369925221,5.176113369370428,19.910632943232958,3.5753845407377285
2019,4.2184348414696204,13.925115377963152,1.5292479559218228,25.335681747200006,3.2135982370720066,5.0128598678799445,18.156864257779688,5.403881975405113,19.56871225874527,3.635603480563371
2020,4.4649315420178315,14.65419872680854,1.6126457945493062,22.101886559224866,3.851971286972031,5.215493733542612,18.340450011308356,5.408109277399664,21.195384562095082,3.1547926700141207
2021,4.048494740254658,15.053280617878787,1.879199132505338,23.32298649694377,3.814604068927569,4.951886589729926,17.728738990183547,5.901485199552341,19.97423848898925,3.3251477808954917
2022,4.290118944562077,16.817872949488944,2.134026314218866,24.44230534415514,3.7795273865980263,4.682548938763508,16.057981298933974,6.119542488062015,18.351673563074897,3.324348017015703
2023,4.288835195349779,14.752291369231155,2.264105903109856,24.77581077159044,3.546936025287311,6.635113636305674,16.445423101857735,6.44414282209365,17.51443120128497,3.3328589667275184
2024,4.339410932864066,15.057843072826534,2.2265871248354037,24.604128483910305,3.6547378259377443,6.431059283977481,15.830479514570905,6.823657123107292,17.625866185716056,3.406084414620315
