year,CY,ES,GR,IT,PT
2000,8.56085877135346,6.808785945464,-0.00651674495547754,1.14581409094162,6.14861920837231
2001,9.08590170377257,4.62197940241983,0.00151553151660002,1.26941636801649,5.02761444190448
2002,9.66223830535239,5.54556177892168,0.0227485404811931,1.34499006490549,0.436137292252839
2003,6.24270945639917,3.41488423629312,0.71501703822218,1.23649728851371,6.26697257909762
2004,6.459620091748,2.39691740423512,0.914091172780157,1.10881762156492,1.312247289237
2005,6.30362669067508,2.44941913037175,0.284127006962334,1.9711754818286,1.70741232717781
2006,9.32556556614527,2.80982337619077,2.01112523714783,2.91006549515942,6.41633004151996
2007,9.57345612845137,4.7599135539395,0.622837777539062,2.9684958153757,2.50093088549298
2008,44.545975103769,4.36076294618522,1.6328960526629,-0.393031898243064,2.96892594201258
2009,252.667773383487,0.505306851587762,0.846404808815716,0.751632233908177,2.35133912553896
2010,125.272737889577,2.51885825626411,0.179789223267027,0.462974196548407,3.77376819569615
2011,151.736934875441,1.73938048405349,0.38562256563474,1.49396922230512,4.23648756430888
2012,289.858110901793,1.44631700014204,0.695897838082299,0.00166359418160288,7.21535195239496
2013,108.090316098148,3.4608559063245,1.24506178790059,0.907076904789878,6.43654323197598
2014,233.165753265091,2.31642230011085,1.15314480305525,0.783743281747353,5.43851031792652
2015,137.220682764776,1.97131692755332,0.652184629866422,0.720886367724088,0.63522205292535
2016,15.8272269765313,3.61722479660389,1.3975055397238,1.35957350873308,3.56282992803299
2017,184.054282581805,2.54039212306223,1.7162955046024,0.44334154868577,5.02041551787587
2018,307.086731038445,4.46748509754483,1.88723349665643,2.10769610409512,3.46584287446499
2019,431.788470101997,2.16052375036307,2.41172201156202,1.77066894209208,4.5038935303436
2020,-296.013199232631,2.92165980781023,1.72637818314203,-0.893869914296462,1.8141455418251
2021,21.8171172987561,4.42272902452136,3.0165221032062,1.20474315612308,3.60836004516304
2022,0.172623612662826,4.65609043363165,3.69648293387112,2.94181405797187,5.08368921917484
2023,-63.1546692723109,2.89981565316893,1.94366777616511,1.8137542726883,3.96325428743124
2024,-133.824278977736,2.47896679493344,2.6312519942121,1.13001784266315,4.30503475485494
