country,alloc,disb,alloc_pct_gdp,disb_pct
Greece,36.0,22.3,16.5,61.94444444444444
Italy,194.4,122.0,9.3,62.757201646090536
Spain,163.0,60.5,11.0,37.11656441717792
Portugal,22.2,7.6,8.4,34.234234234234236
Romania,28.5,9.7,9.4,34.03508771929824
Croatia,10.0,5.7,13.5,57.00000000000001
Cyprus,1.2,0.5,4.0,41.66666666666667
