year,Total Expenditure,Total Revenue
2000,48.2,43.9
2001,47.5,41.8
2002,47.1,40.9
2003,47.9,39.8
2004,48.8,39.8
2005,46.6,40.3
2006,45.9,39.8
2007,47.8,41.0
2008,51.5,41.2
2009,54.8,39.4
2010,53.1,41.7
2011,55.1,44.6
2012,57.9,48.6
2013,63.9,50.3
2014,51.5,47.7
2015,54.8,48.9
2016,50.3,50.5
2017,48.6,49.3
2018,48.6,49.5
2019,47.7,48.5
2020,59.3,49.4
2021,56.6,49.3
2022,53.1,50.5
2023,49.5,48.1
2024,48.1,49.4
