year,BG,CZ,HU,PL,RO
2003,,,,,
2004,,,,,
2005,,,,,
2006,,,,,
2007,,,,,
2008,,,,,
2009,7.9,6.7,9.7,8.5,8.4
2010,11.3,7.3,10.8,10.0,9.0
2011,12.3,6.7,10.7,10.0,9.1
2012,13.3,7.0,10.7,10.4,8.7
2013,13.9,7.0,9.8,10.6,9.0
2014,12.4,6.1,7.5,9.2,8.6
2015,10.1,5.1,6.6,7.7,8.4
2016,8.6,4.0,5.0,6.3,7.2
2017,7.2,2.9,4.0,5.0,6.1
2018,6.2,2.2,3.6,3.9,5.3
2019,5.2,2.0,3.3,3.3,4.9
2020,6.1,2.6,4.1,3.2,6.1
2021,5.2,2.8,4.0,3.4,5.6
2022,4.2,2.2,3.6,2.9,5.6
2023,4.3,2.6,4.1,2.8,5.6
2024,4.2,2.6,4.5,2.9,5.4
