year,BG,CZ,EU27_2020,HU,PL,RO
2014,35.4,25.1,30.9,28.6,30.8,35.0
2015,37.0,25.0,30.8,28.2,30.6,37.4
2016,37.7,25.1,30.6,28.2,29.8,34.7
2017,40.2,24.5,30.3,28.1,29.2,33.1
2018,39.6,24.0,30.4,28.7,27.8,35.1
2019,40.8,24.0,30.1,26.8,28.5,34.8
2020,40.0,24.2,30.0,28.2,27.2,33.8
2021,39.7,24.8,30.2,27.4,26.8,34.3
2022,38.4,24.8,29.6,26.9,26.3,32.0
2023,37.2,24.4,29.6,28.6,27.0,31.0
2024,38.4,23.7,29.4,28.0,26.0,28.0
2025,37.7,24.0,,29.5,24.9,27.3
