region,gdp_per_capita_pps_pct_eu27
Nord-Est (RO),28
Sud-Vest Oltenia (RO),34
Severozapaden (BG),30
Yuzhen Tsentralen (BG),33
Észak-Magyarország (HU),44
Lubelskie (PL),55
Podkarpackie (PL),52
Bucuresti-Ilfov (RO),162
Mazowieckie (PL),172
Praha (CZ),211
