year,BG,CZ,EU,HU,PL,RO
2000,4.58722541447194,4.010669619984,3.93357955857741,4.40937501806403,4.65633252988236,2.4612634592269
2001,3.82370364608695,2.9172195289956,2.16114364230499,4.06202617226026,1.23374464400356,5.21813625673708
2002,5.87193108148227,1.51345949139996,1.09769505370336,4.73006530805553,1.90119437968586,5.70299165043771
2003,5.23715364977618,3.300836832613,0.936970953534527,3.93877761242727,3.52337117234833,2.34114732919521
2004,6.51042578445376,4.73633969683438,2.59990864973688,4.96312536156307,5.09079546409544,10.4281130180976
2005,7.05634873469204,6.37502886086791,1.98357902362464,4.30028318461673,3.26082274679216,4.6681480508487
2006,6.80258943603174,6.62317299177447,3.56754077134353,3.93393162712054,6.20210710934373,8.02881107599163
2007,6.65438792422609,5.48882595164517,3.14183566763455,0.332354337878925,6.7604478527626,7.23380774362805
2008,6.12955841579208,2.61226807205139,0.617986886948614,0.993437085479655,4.38377069274605,9.30746717077338
2009,-3.34714149737695,-4.79832416684926,-4.31208831896211,-6.7401660845502,2.61512859291683,-5.51670615843011
2010,1.55535979911015,2.71466509907701,2.18180099957819,1.06795068152046,3.16892748258036,-3.90581157302972
2011,2.09017507758604,1.77238085338473,1.96060087405085,1.91670916599742,5.25546256612796,4.49558909946313
2012,0.748815411928831,-0.770668190622743,-0.764417073932009,-1.33948446518181,1.51178167644575,1.90361696799603
2013,-0.542751388861134,-0.0418124160447491,-0.0330405739034347,2.03216990678146,0.684240607051805,0.278771877470234
2014,0.949449090947894,2.24521219862635,1.63272217207499,4.33435364113967,3.92050862390032,4.11600109267832
2015,3.39755336780412,4.95875848915604,2.3719530456017,3.65981615406955,4.43176700264478,3.1570360543854
2016,3.02662841229517,2.58087013921376,1.91998029828646,2.43864141309342,3.03117767594847,2.85993252302089
2017,2.74592676054861,5.17356529967881,2.81811045546294,4.12418389451805,5.15245773325907,8.19547826641261
2018,2.33015213407045,2.83030588267866,2.0464201274383,5.60613813768876,6.2458584723942,5.39452228185675
2019,3.79331765354152,3.56577658128261,1.87524696216212,5.07718495088933,4.58045817256199,3.96028958497598
2020,-3.13323303076419,-5.30487955463876,-5.57888055659984,-4.33872540024058,-2.03556882399977,-3.59802546034757
2021,7.82817232822165,4.02901832055149,6.37775013900983,7.22291580811137,6.92718266052501,5.58735072538869
2022,4.0838640915123,2.8471706583814,3.56155233245134,4.15238057779229,5.25545697386036,4.18771305104109
2023,1.68151074972904,0.0475803308973752,0.454322708045197,-0.817107370513455,0.249610834017872,2.25773416555121
2024,3.38709063847314,1.23308611983484,1.06455789818651,0.560117843140432,3.02841630700273,0.916003764382594
